Date,mun_geocod,mun_nome,mun_lat,mun_lon,mun_uf_nome,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,vento_direcao_grau,vento_velocidade_ms
1/1/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,81.85,NA,10,2.675,0.35,2,26.875,77.25,119.75,5.05
1/2/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,75.7,NA,10.1,1.875,0.375,0,26.575,79.75,120.25,4.8
1/3/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,74.5,NA,10.3,2.375,0.4,9,26.1,85.75,117.75,4.55
1/4/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,64.1,NA,10.2,3.6,0.375,5,25.9,85,125.25,3.925
1/5/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,58.3,NA,9.775,4.175,0.45,16,25.825,87,132.75,3.95
1/6/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,69.475,NA,9.7,5.975,0.475,5,25.425,89.75,128,3.85
1/7/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,81.5,NA,9.4,4.025,0.4,0,26.325,84,107,4
1/8/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,80.05,NA,9.425,3.9,0.4,1,26.45,83.75,120.75,4.15
1/9/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,79.225,NA,9.3,4.85,0.4,2,26.4,84.25,120,4.175
1/10/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,73.875,NA,9.15,4.875,0.425,5,26.375,83.25,133.5,4.35
1/11/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,70.1,NA,9.625,5.65,0.525,0,27.3,75,128.5,4.55
1/12/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,80.975,NA,9.325,4.1,0.375,0,27.1,77,79.75,3.725
1/13/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,96,NA,8.9,5.475,0.375,0,27.4,74.25,101.25,3.75
1/14/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,105.15,NA,8.7,5.375,0.375,0,27.05,77.5,113.75,3.8
1/15/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,92.15,NA,8.55,9.025,0.375,4,26.375,84,113.25,3.15
1/16/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,89.725,NA,8.375,11.4,0.425,5,25.45,90.75,115.5,3.175
1/17/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,95.75,NA,8.8,7.6,0.45,9,26.65,81.5,102.75,4.075
1/18/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,94.9,NA,9.025,8.025,0.425,5,27.1,79.25,101.5,4.575
1/19/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,93.075,NA,8.975,18.375,0.4,0,27.225,76.75,104.5,4.225
1/20/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,113.95,NA,9,15.85,0.425,0,26.75,79.5,65.75,3.15
1/21/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,135.2,NA,9.55,28.625,0.375,0,27.125,79.5,32,2.875
1/22/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,151.225,NA,9.625,27.05,0.425,1,26.9,84,61.25,3.275
1/23/2000,2408102,NATAL,-5.8054,-35.2081,RIO GRANDE DO NORTE,123.45,NA,9.35,4.175,0.425,0,27,79.25,88,3.525
